rank,word,count
1,food,8580
2,place,8236
3,good,7919
4,great,6295
5,service,6027
6,like,5534
7,get,5216
8,time,5172
9,would,5169
10,one,5044
11,back,4717
12,go,4145
13,really,3731
14,also,3333
15,got,3171
16,us,2926
17,even,2891
18,order,2820
19,could,2815
20,nice,2756
21,ordered,2620
22,came,2614
23,best,2605
24,always,2587
25,chicken,2515
26,staff,2481
27,well,2475
28,love,2381
29,never,2356
30,restaurant,2339
31,first,2325
32,friendly,2304
33,try,2261
34,come,2257
35,went,2218
36,little,2195
37,much,2111
38,definitely,2109
39,people,2101
40,make,1962
41,pretty,1932
42,menu,1930
43,better,1919
44,made,1907
45,experience,1901
46,delicious,1892
47,said,1867
48,going,1848
49,know,1768
50,amazing,1737
51,day,1734
52,two,1711
53,sauce,1682
54,want,1673
55,still,1633
56,way,1628
57,new,1600
58,recommend,1596
59,ever,1585
60,say,1582
61,right,1580
62,take,1579
63,2,1576
64,bar,1557
65,fresh,1552
66,wait,1546
67,give,1541
68,night,1513
69,eat,1509
70,cheese,1488
71,pizza,1481
72,told,1474
73,bad,1468
74,price,1458
75,sure,1444
76,everything,1443
77,asked,1429
78,around,1421
79,minutes,1421
80,since,1419
81,car,1414
82,think,1403
83,area,1401
84,see,1386
85,location,1378
86,table,1358
87,another,1354
88,took,1344
89,next,1343
90,times,1339
91,customer,1336
92,small,1320
93,every,1303
94,clean,1294
95,bit,1292
96,lunch,1289
97,lot,1269
98,work,1253
99,side,1245
100,home,1224
101,beef,1220
102,many,1219
103,hot,1218
104,quality,1204
105,3,1201
106,last,1186
107,rice,1170
108,meal,1167
109,long,1158
110,super,1140
111,thing,1138
112,tried,1134
113,room,1126
114,5,1122
115,though,1117
116,meat,1116
117,feel,1114
118,something,1106
119,salad,1095
120,find,1087
121,nothing,1084
122,happy,1064
123,wanted,1061
124,big,1054
125,sushi,1051
126,fries,1044
127,prices,1043
128,looking,1029
129,enough,1029
130,need,1028
131,taste,1020
132,called,1018
133,drinks,1018
134,'d,1005
135,worth,989
136,years,989
137,awesome,985
138,sandwich,981
139,breakfast,979
140,places,977
141,dinner,968
142,done,968
143,soup,962
144,drink,962
145,coming,959
146,house,951
147,away,944
148,fried,937
149,however,924
150,busy,914
151,large,912
152,burger,911
153,excellent,911
154,left,905
155,things,905
156,special,902
157,friends,900
158,stars,895
159,free,887
160,different,886
161,overall,880
162,visit,878
163,found,878
164,bread,877
165,full,858
166,getting,854
167,4,847
168,fast,844
169,quite,842
170,family,842
171,ask,841
172,put,837
173,sweet,828
174,tasty,828
175,care,827
176,10,824
177,check,822
178,let,817
179,huge,817
180,server,814
181,pork,813
182,manager,812
183,gave,812
184,quick,809
185,favorite,808
186,anything,807
187,actually,800
188,dishes,799
189,look,791
190,decided,789
191,everyone,789
192,friend,778
193,probably,777
194,coffee,770
195,thought,769
196,hour,768
197,call,768
198,steak,763
199,kind,763
200,top,762
201,--,762
202,dish,761
203,flavor,759
204,without,749
205,atmosphere,747
206,waitress,746
207,beer,744
208,used,740
209,perfect,736
210,maybe,728
211,front,726
212,usually,724
213,ok,721
214,looked,720
215,inside,709
216,spicy,708
217,pay,706
218,options,704
219,review,702
220,vegas,698
221,decent,696
222,1,694
223,else,692
224,today,691
225,job,687
226,cooked,685
227,highly,683
228,disappointed,682
229,shrimp,681
230,selection,681
231,old,679
232,business,678
233,tasted,676
234,chinese,676
235,spot,674
236,money,670
237,water,670
